report_date,city,state,season,product_name,campaign_name,adset_name,orders_7d,attributed_revenue,effective_city_spend,roas,opportunity_score,recommended_action,budget_modifier,broad_discovery_flag,reason
2026-06-23,Indore,Madhya Pradesh,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,4,4235.6,616.83,6.8667,96.25,SCALE,1.25,1,"Opportunity score 96, ROAS 6.87x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon, weather=RAIN_EMERGING."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,12,2117.8,495.63,4.2729,95.64,SCALE,1.25,1,"Opportunity score 96, ROAS 4.27x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon."
2026-06-23,MUMBAI,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,5,2117.8,495.63,4.2729,95.64,SCALE,1.25,1,"Opportunity score 96, ROAS 4.27x (target 2.5x), 5 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Hyderabad,Telangana,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,3,4235.6,991.26,4.2729,95.64,SCALE,1.25,1,"Opportunity score 96, ROAS 4.27x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Bangalore,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,4,2117.8,314.52,6.7334,95.0,SCALE,1.25,0,"Opportunity score 95, ROAS 6.73x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,12,6353.4,1639.72,3.8747,94.37,SCALE,1.25,1,"Opportunity score 94, ROAS 3.87x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,34,23295.8,6297.38,3.6993,93.5,SCALE,1.25,1,"Opportunity score 94, ROAS 3.70x (target 2.5x), 34 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,12,6353.4,1639.72,3.8747,93.25,SCALE,1.25,1,"Opportunity score 93, ROAS 3.87x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Hyderabad,Telangana,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,3,4235.6,991.26,4.2729,92.61,SCALE,1.25,1,"Opportunity score 93, ROAS 4.27x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon, weather=RAIN_EMERGING."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,34,23295.8,6297.38,3.6993,92.2,SCALE,1.25,1,"Opportunity score 92, ROAS 3.70x (target 2.5x), 34 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Pune,Maharashtra,Monsoon,Rover Raincoat,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,1694.07,308.41,5.4929,90.0,HOLD,1.0,1,"Opportunity score 90, ROAS 5.49x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Vadodara,Gujarat,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,2117.8,308.41,6.8668,88.33,HOLD,1.0,1,"Opportunity score 88, ROAS 6.87x — no decisive signal. Maintain current budget."
2026-06-23,South Delhi,Delhi,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,4235.6,616.83,6.8667,88.33,HOLD,1.0,1,"Opportunity score 88, ROAS 6.87x — no decisive signal. Maintain current budget."
2026-06-23,Pune,Maharashtra,Monsoon,Rover Raincoat,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,1694.07,308.41,5.4929,88.33,HOLD,1.0,1,"Opportunity score 88, ROAS 5.49x — no decisive signal. Maintain current budget."
2026-06-23,New Delhi,Delhi,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,4235.6,804.04,5.2679,88.33,HOLD,1.0,1,"Opportunity score 88, ROAS 5.27x — no decisive signal. Maintain current budget."
2026-06-23,South 24 Parganas,West Bengal,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,3,4235.6,616.83,6.8667,88.0,SCALE,1.25,1,"Opportunity score 88, ROAS 6.87x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon, weather=UNKNOWN."
2026-06-23,Bangalore,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,4,2117.8,308.41,6.8668,88.0,SCALE,1.25,1,"Opportunity score 88, ROAS 6.87x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon, weather=UNKNOWN."
2026-06-23,Raigarh MH,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,3,2117.8,749.91,2.8241,86.94,SCALE,1.25,1,"Opportunity score 87, ROAS 2.82x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Bengaluru,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,4,2117.8,314.52,6.7334,86.57,SCALE,1.25,1,"Opportunity score 87, ROAS 6.73x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon, weather=UNKNOWN."
2026-06-23,Pune,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,13,2117.8,941.22,2.2501,86.25,HOLD,1.0,1,"Opportunity score 86, ROAS 2.25x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,WildTrail Boots,TH-068-WILD-18JUNE-ADV+,Broad Advantage+,3,6353.39,3059.02,2.0769,85.38,HOLD,1.0,1,"Opportunity score 85, ROAS 2.08x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Thane,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,12,4235.6,1386.13,3.0557,85.28,SCALE,1.25,0,"Opportunity score 85, ROAS 3.06x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Pune,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,13,12452.55,4098.84,3.0381,85.19,SCALE,1.25,0,"Opportunity score 85, ROAS 3.04x (target 2.5x), 13 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Rangareddy,Telangana,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,2117.8,495.63,4.2729,83.97,HOLD,1.0,1,"Opportunity score 84, ROAS 4.27x — no decisive signal. Maintain current budget."
2026-06-23,BANGALORE,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,2117.8,495.63,4.2729,83.97,HOLD,1.0,1,"Opportunity score 84, ROAS 4.27x — no decisive signal. Maintain current budget."
2026-06-23,Pune,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,13,2117.8,941.22,2.2501,83.5,HOLD,1.0,1,"Opportunity score 84, ROAS 2.25x — no decisive signal. Maintain current budget."
2026-06-23,Khorda,Odisha,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER,Broad Advantage+,3,3134.75,1393.36,2.2498,83.5,HOLD,1.0,1,"Opportunity score 84, ROAS 2.25x — no decisive signal. Maintain current budget."
2026-06-23,Thane,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,12,4235.6,1386.13,3.0557,83.33,SCALE,1.25,0,"Opportunity score 83, ROAS 3.06x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Pune,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,13,12452.55,4098.84,3.0381,83.23,SCALE,1.25,0,"Opportunity score 83, ROAS 3.04x (target 2.5x), 13 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,12,7370.35,4488.53,1.642,83.21,HOLD,1.0,1,"Opportunity score 83, ROAS 1.64x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Mumbai Subueban,Maharashtra,All Seasons,DuckDash Treat Toy,TH-385-DUCKTOY-16JUNE-DOG,ICP Pet Parents,5,1100.85,491.18,2.2412,83.21,HOLD,1.0,1,"Opportunity score 83, ROAS 2.24x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Bangalore,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,4,2117.8,314.52,6.7334,83.0,SCALE,1.25,0,"Opportunity score 83, ROAS 6.73x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon, weather=UNKNOWN."
2026-06-23,South 24 Parganas,West Bengal,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER,Broad Advantage+,3,3219.49,1492.65,2.1569,82.94,HOLD,1.0,1,"Opportunity score 83, ROAS 2.16x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,WildTrail Boots,TH-068-WILD-18JUNE-ADV+,Broad Advantage+,3,6353.39,3059.02,2.0769,82.46,HOLD,1.0,1,"Opportunity score 82, ROAS 2.08x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,34,13723.75,5897.33,2.3271,81.64,HOLD,1.0,0,"Opportunity score 82, ROAS 2.33x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,MUMBAI,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,5,2117.8,941.22,2.2501,81.25,HOLD,1.0,0,"Opportunity score 81, ROAS 2.25x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-372-ROVERAINCOAT-14JUNE-CV2,Urban Pet Parents,34,2965.25,1336.4,2.2188,81.09,HOLD,1.0,0,"Opportunity score 81, ROAS 2.22x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,MUMBAI SUBURBAN,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,4235.59,308.41,13.7336,80.0,HOLD,1.0,1,"Opportunity score 80, ROAS 13.73x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,12,7370.35,4488.53,1.642,79.85,HOLD,1.0,1,"Opportunity score 80, ROAS 1.64x — no decisive signal. Maintain current budget."
2026-06-23,Vadodara,Gujarat,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,2117.8,308.41,6.8668,79.5,HOLD,1.0,1,"Opportunity score 80, ROAS 6.87x — no decisive signal. Weather=HEAT_HIGH. Maintain current budget."
2026-06-23,New Delhi,Delhi,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,4235.6,804.04,5.2679,79.5,HOLD,1.0,1,"Opportunity score 80, ROAS 5.27x — no decisive signal. Weather=HEAT_HIGH. Maintain current budget."
2026-06-23,Mumbai Subueban,Maharashtra,All Seasons,DuckDash Treat Toy,TH-385-DUCKTOY-16JUNE-DOG,ICP Pet Parents,5,1100.85,491.18,2.2412,79.45,HOLD,1.0,1,"Opportunity score 79, ROAS 2.24x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,34,13723.75,5897.33,2.3271,78.96,HOLD,1.0,0,"Opportunity score 79, ROAS 2.33x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,34,2117.8,1201.65,1.7623999,78.81,HOLD,1.0,0,"Opportunity score 79, ROAS 1.76x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Pune,Maharashtra,Monsoon,StormGuard Jacket,TH-012-SNUGBOO-19JUN,Urban Pet Parent,1,2117.8,444.91,4.7601,78.8,HOLD,1.0,1,"Opportunity score 79, ROAS 4.76x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,PUNE,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,1,2117.8,444.91,4.7601,78.8,HOLD,1.0,1,"Opportunity score 79, ROAS 4.76x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,South Delhi,Delhi,All Seasons,BlueWave Pool,TH-367-BLUEPOOL-20JUNE-ADV+,Urban Pet Parent,2,2541.52,624.0,4.0729,78.77,HOLD,1.0,1,"Opportunity score 79, ROAS 4.07x — no decisive signal. Maintain current budget."
2026-06-23,MUMBAI,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,5,2117.8,941.22,2.2501,78.5,HOLD,1.0,0,"Opportunity score 78, ROAS 2.25x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-372-ROVERAINCOAT-14JUNE-CV2,Urban Pet Parents,34,2965.25,1336.4,2.2188,78.31,HOLD,1.0,0,"Opportunity score 78, ROAS 2.22x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,All Seasons,DuckDash Treat Toy,TH-385-DUCKTOY-16JUNE-DOG,ICP Pet Parents,11,1100.85,491.18,2.2412,78.21,HOLD,1.0,0,"Opportunity score 78, ROAS 2.24x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,MUMBAI,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,5,4913.56,3006.61,1.6343,78.17,HOLD,1.0,0,"Opportunity score 78, ROAS 1.63x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Bengaluru,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,4,4235.6,2585.59,1.6382,78.16,HOLD,1.0,1,"Opportunity score 78, ROAS 1.64x — no decisive signal. Maintain current budget."
2026-06-23,South Delhi,Delhi,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,2,4235.6,616.83,6.8667,78.0,HOLD,1.0,1,"Opportunity score 78, ROAS 6.87x — no decisive signal. Weather=UNKNOWN. Maintain current budget."
2026-06-23,Thane,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,12,6353.4,3986.22,1.5938001,77.97,HOLD,1.0,0,"Opportunity score 78, ROAS 1.59x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Raigarh MH,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,Urban Pet Parent,3,2117.8,749.91,2.8241,77.12,SCALE,1.25,1,"Opportunity score 77, ROAS 2.82x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon, weather=UNKNOWN."
2026-06-23,Mumbai Subueban,Maharashtra,All Seasons,DuckDash Treat Toy,TH-385-DUCKTOY-16JUNE-CAT,Cat Lover,5,2794.05,2889.3,0.967,76.84,HOLD,1.0,1,"Opportunity score 77, ROAS 0.97x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Thane,Maharashtra,All Seasons,DuckDash Treat Toy,TH-385-DUCKTOY-16JUNE-DOG,ICP Pet Parents,3,846.61,431.7,1.9611,76.81,HOLD,1.0,0,"Opportunity score 77, ROAS 1.96x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Gurgaon,Haryana,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,2,4235.59,1382.42,3.0639,76.72,HOLD,1.0,1,"Opportunity score 77, ROAS 3.06x — no decisive signal. Maintain current budget."
2026-06-23,Rajkot,Gujarat,Monsoon,WildTrail Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,1694.07,308.41,5.4929,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 5.49x — no decisive signal. Maintain current budget."
2026-06-23,Rajkot,Gujarat,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,2117.79,308.41,6.8668,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.87x — no decisive signal. Maintain current budget."
2026-06-23,Nanded,Maharashtra,Monsoon,WildTrail Boots,TH-068-WILD-16JUNE,Urban Pet Parent,1,1922.21,343.56,5.5950003,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 5.59x — no decisive signal. Maintain current budget."
2026-06-23,Nanded,Maharashtra,Monsoon,StormGuard Jacket,TH-068-WILD-16JUNE,Urban Pet Parent,1,1922.23,343.56,5.5950003,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 5.60x — no decisive signal. Maintain current budget."
2026-06-23,Margao,Goa,Monsoon,WildTrail Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,1,1694.07,314.52,5.3862,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 5.39x — no decisive signal. Maintain current budget."
2026-06-23,MUMBAI SUBURBAN,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,4235.59,308.41,13.7336,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 13.73x — no decisive signal. Maintain current budget."
2026-06-23,Kolkata,West Bengal,Monsoon,StormGuard Jacket,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,2027.64,308.41,6.5745,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.57x — no decisive signal. Maintain current budget."
2026-06-23,Kamrup,Assam,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,1,2026.99,314.52,6.4447002,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.44x — no decisive signal. Maintain current budget."
2026-06-23,Hyderabad,Telangana,Monsoon,WildTrail Boots,TH-068-WILD-16JUNE,Urban Pet Parent,1,2117.8,343.56,6.1643,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.16x — no decisive signal. Maintain current budget."
2026-06-23,Guntur,Andhra Pradesh,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,2117.8,308.41,6.8668,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.87x — no decisive signal. Maintain current budget."
2026-06-23,Dist. Thane,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,4235.59,495.63,8.5459,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 8.55x — no decisive signal. Maintain current budget."
2026-06-23,Dharwad,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,1,4235.59,314.52,13.4668,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 13.47x — no decisive signal. Maintain current budget."
2026-06-23,Darjeeling,West Bengal,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,2117.8,308.41,6.8668,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.87x — no decisive signal. Maintain current budget."
2026-06-23,Anand,Gujarat,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,2002.23,308.41,6.4921,76.67,HOLD,1.0,1,"Opportunity score 77, ROAS 6.49x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,WildTrail Boots,TH-383-SUSPENDER-17JUNE,Urban Pet Parents,4,1694.07,1286.04,1.3173,76.59,HOLD,1.0,0,"Opportunity score 77, ROAS 1.32x — no decisive signal. Weather=RAIN_ACTIVE. Maintain current budget."
2026-06-23,Nanded,Maharashtra,Monsoon,WildTrail Boots,TH-068-WILD-16JUNE,Urban Pet Parent,1,1922.21,343.56,5.5950003,76.25,HOLD,1.0,1,"Opportunity score 76, ROAS 5.59x — no decisive signal. Weather=RAIN_EMERGING. Maintain current budget."
2026-06-23,Nanded,Maharashtra,Monsoon,StormGuard Jacket,TH-068-WILD-16JUNE,Urban Pet Parent,1,1922.23,343.56,5.5950003,76.25,HOLD,1.0,1,"Opportunity score 76, ROAS 5.60x — no decisive signal. Weather=RAIN_EMERGING. Maintain current budget."
2026-06-23,Kolkata,West Bengal,Monsoon,StormGuard Jacket,TH-383-SUSPENDER-20JUNE,Broad Advantage+,1,2027.64,308.41,6.5745,76.25,HOLD,1.0,1,"Opportunity score 76, ROAS 6.57x — no decisive signal. Weather=RAIN_EMERGING. Maintain current budget."
2026-06-23,Hyderabad,Telangana,Monsoon,WildTrail Boots,TH-068-WILD-16JUNE,Urban Pet Parent,1,2117.8,343.56,6.1643,76.25,HOLD,1.0,1,"Opportunity score 76, ROAS 6.16x — no decisive signal. Weather=RAIN_EMERGING. Maintain current budget."
2026-06-23,South West Delhi,Delhi,All Seasons,DuckDash Treat Toy,TH-385-DUCKTOY-16JUNE-DOG,Urban Pet Parents,3,1100.84,648.15,1.6984,76.19,HOLD,1.0,1,"Opportunity score 76, ROAS 1.70x — no decisive signal. Maintain current budget."
2026-06-23,Bangalore,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER,Broad Advantage+,4,2541.53,2593.29,0.98,75.88,HOLD,1.0,1,"Opportunity score 76, ROAS 0.98x — no decisive signal. Maintain current budget."
2026-06-23,Mumbai,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,34,2117.8,1201.65,1.7623999,75.57,HOLD,1.0,0,"Opportunity score 76, ROAS 1.76x — no decisive signal. Maintain current budget."
